,rating,type,audience,question
0,4.413978494623656,Human,Migrant Workers,Clarity
1,4.247311827956989,Human,Migrant Workers,Clarity
2,3.8870967741935485,Human,Migrant Workers,Clarity
3,4.161290322580645,Human,Migrant Workers,Clarity
4,4.311827956989247,Human,Migrant Workers,Clarity
5,4.32258064516129,Human,Women Drivers,Clarity
6,3.817204301075269,Human,Women Drivers,Clarity
7,3.6666666666666665,Human,Women Drivers,Clarity
8,4.306451612903226,Human,Women Drivers,Clarity
9,,Human,Women Drivers,Clarity
10,4.247311827956989,Human,Young Drivers,Clarity
11,3.9086021505376345,Human,Young Drivers,Clarity
12,3.860215053763441,Human,Young Drivers,Clarity
13,3.596774193548387,Human,Young Drivers,Clarity
14,4.408602150537634,Human,Young Drivers,Clarity
15,4.139784946236559,AI,Migrant Workers,Clarity
16,3.9516129032258065,AI,Migrant Workers,Clarity
17,4.026881720430108,AI,Migrant Workers,Clarity
18,3.8225806451612905,AI,Migrant Workers,Clarity
19,3.9086021505376345,AI,Migrant Workers,Clarity
20,3.956989247311828,AI,Women Drivers,Clarity
21,3.9086021505376345,AI,Women Drivers,Clarity
22,3.7311827956989245,AI,Women Drivers,Clarity
23,3.78494623655914,AI,Women Drivers,Clarity
24,3.752688172043011,AI,Women Drivers,Clarity
25,3.8440860215053765,AI,Young Drivers,Clarity
26,3.8225806451612905,AI,Young Drivers,Clarity
27,3.763440860215054,AI,Young Drivers,Clarity
28,4.048387096774194,AI,Young Drivers,Clarity
29,3.9408602150537635,AI,Young Drivers,Clarity
30,4.562162162162162,Human,Migrant Workers,Quality
31,,Human,Migrant Workers,Quality
32,3.848648648648649,Human,Migrant Workers,Quality
33,4.194594594594594,Human,Migrant Workers,Quality
34,4.427027027027027,Human,Migrant Workers,Quality
35,4.248648648648649,Human,Women Drivers,Quality
36,3.675675675675676,Human,Women Drivers,Quality
37,3.691891891891892,Human,Women Drivers,Quality
38,4.394594594594595,Human,Women Drivers,Quality
39,4.356756756756757,Human,Women Drivers,Quality
40,4.264864864864865,Human,Young Drivers,Quality
41,3.8972972972972975,Human,Young Drivers,Quality
42,3.9945945945945946,Human,Young Drivers,Quality
43,3.7243243243243245,Human,Young Drivers,Quality
44,4.47027027027027,Human,Young Drivers,Quality
45,4.274193548387097,AI,Migrant Workers,Quality
46,4.048387096774194,AI,Migrant Workers,Quality
47,4.10752688172043,AI,Migrant Workers,Quality
48,3.9086021505376345,AI,Migrant Workers,Quality
49,4.198924731182796,AI,Migrant Workers,Quality
50,4.043243243243243,AI,Women Drivers,Quality
51,4.091891891891892,AI,Women Drivers,Quality
52,3.9297297297297296,AI,Women Drivers,Quality
53,4.059459459459459,AI,Women Drivers,Quality
54,3.924324324324324,AI,Women Drivers,Quality
55,3.848648648648649,AI,Young Drivers,Quality
56,3.983783783783784,AI,Young Drivers,Quality
57,3.864864864864865,AI,Young Drivers,Quality
58,4.281081081081081,AI,Young Drivers,Quality
59,4.097297297297297,AI,Young Drivers,Quality
